iter	Passed	Remaining
0	231	230800
1	232	115993
2	233	77681
3	234	58496
4	236	47031
5	237	39337
6	241	34255
7	243	30195
8	244	26952
9	246	24378
10	248	22320
11	249	20532
12	250	18998
13	251	17682
14	252	16569
15	255	15712
16	256	14840
17	257	14057
18	258	13351
19	259	12717
20	260	12153
21	261	11621
22	262	11136
23	262	10693
24	263	10286
25	264	9910
26	265	9564
27	266	9239
28	272	9137
29	273	8855
30	274	8584
31	275	8331
32	276	8093
33	276	7867
34	277	7656
35	278	7465
36	279	7280
37	280	7105
38	294	7267
39	296	7107
40	297	6955
41	299	6825
42	302	6730
43	304	6613
44	305	6478
45	306	6347
46	306	6221
47	307	6101
48	308	5985
49	312	5933
50	313	5832
51	314	5731
52	315	5635
53	316	5539
54	317	5448
55	318	5360
56	318	5275
57	319	5192
58	320	5112
59	321	5034
60	322	4960
61	323	4889
62	326	4858
63	327	4790
64	328	4725
65	329	4662
66	330	4606
67	331	4546
68	332	4486
69	333	4427
70	334	4370
71	334	4314
72	335	4260
73	336	4208
74	337	4156
75	337	4105
76	343	4119
77	345	4080
78	346	4040
79	347	4000
80	349	3963
81	351	3930
82	351	3884
83	356	3892
84	358	3858
85	359	3823
86	360	3787
87	362	3754
88	363	3719
89	364	3685
90	365	3651
91	380	3752
92	381	3719
93	382	3686
94	383	3657
95	386	3643
96	388	3617
97	390	3589
98	409	3729
99	411	3701
100	413	3681
101	420	3705
102	422	3680
103	423	3650
104	424	3620
105	425	3590
106	426	3561
107	428	3537
108	430	3516
109	436	3527
110	437	3503
111	438	3480
112	447	3512
113	449	3493
114	453	3489
115	460	3510
116	463	3494
117	464	3469
118	468	3469
119	469	3444
120	470	3420
121	495	3569
122	497	3547
123	498	3523
124	499	3499
125	501	3477
126	502	3452
127	507	3459
128	509	3437
129	510	3416
130	511	3393
131	512	3371
132	513	3348
133	514	3326
134	515	3304
135	516	3282
136	517	3260
137	521	3256
138	522	3236
139	523	3216
140	524	3197
141	525	3177
142	526	3157
143	527	3138
144	528	3119
145	529	3100
146	547	3177
147	549	3161
148	553	3164
149	555	3146
150	556	3128
151	557	3110
152	559	3099
153	560	3081
154	562	3064
155	567	3071
156	569	3055
157	569	3037
158	570	3019
159	572	3004
160	572	2984
161	573	2967
162	574	2951
163	575	2934
164	590	2985
165	591	2969
166	592	2953
167	593	2940
168	600	2953
169	601	2938
170	602	2922
171	605	2913
172	606	2898
173	607	2883
174	608	2867
175	609	2852
176	612	2847
177	613	2833
178	614	2819
179	615	2804
180	616	2790
181	617	2776
182	619	2764
183	620	2751
184	621	2737
185	622	2723
186	623	2710
187	632	2731
188	633	2718
189	634	2705
190	635	2692
191	637	2682
192	638	2669
193	645	2680
194	646	2669
195	647	2657
196	651	2655
197	652	2643
198	653	2632
199	658	2635
200	659	2623
201	660	2610
202	665	2612
203	666	2600
204	667	2587
205	669	2580
206	675	2587
207	676	2576
208	677	2565
209	678	2553
210	680	2545
211	681	2534
212	682	2523
213	684	2512
214	689	2516
215	690	2506
216	691	2496
217	693	2486
218	694	2475
219	695	2466
220	696	2456
221	697	2444
222	698	2433
223	698	2421
224	699	2410
225	700	2400
226	702	2391
227	703	2382
228	704	2372
229	705	2362
230	706	2351
231	707	2341
232	707	2330
233	713	2334
234	714	2326
235	717	2321
236	717	2311
237	718	2301
238	719	2291
239	720	2281
240	721	2271
241	722	2261
242	722	2251
243	727	2252
244	728	2245
245	729	2236
246	731	2229
247	736	2232
248	736	2222
249	737	2212
250	738	2203
251	744	2209
252	745	2200
253	746	2191
254	747	2184
255	748	2175
256	749	2167
257	750	2158
258	751	2149
259	752	2140
260	753	2132
261	757	2134
262	758	2126
263	760	2118
264	764	2120
265	765	2111
266	765	2102
267	766	2093
268	767	2085
269	772	2089
270	773	2081
271	774	2074
272	776	2067
273	777	2059
274	778	2051
275	778	2043
276	779	2035
277	780	2027
278	781	2019
279	782	2012
280	787	2015
281	789	2009
282	791	2004
283	791	1996
284	792	1988
285	793	1980
286	794	1972
287	794	1964
288	795	1957
289	796	1949
290	796	1941
291	797	1934
292	798	1926
293	805	1933
294	806	1927
295	807	1920
296	808	1913
297	809	1905
298	809	1898
299	810	1890
300	811	1883
301	811	1876
302	812	1869
303	817	1871
304	818	1864
305	819	1858
306	820	1852
307	822	1846
308	822	1840
309	823	1833
310	824	1827
311	825	1820
312	826	1814
313	827	1808
314	832	1809
315	833	1803
316	834	1797
317	838	1797
318	838	1790
319	839	1784
320	840	1777
321	841	1770
322	842	1765
323	843	1759
324	846	1759
325	848	1753
326	851	1752
327	852	1746
328	853	1741
329	854	1735
330	855	1729
331	863	1736
332	864	1731
333	869	1733
334	870	1727
335	871	1722
336	872	1717
337	880	1723
338	882	1719
339	883	1714
340	884	1708
341	885	1703
342	886	1697
343	887	1692
344	888	1687
345	897	1696
346	898	1691
347	900	1686
348	903	1685
349	907	1686
350	909	1681
351	912	1679
352	916	1679
353	929	1696
354	934	1697
355	939	1699
356	941	1696
357	943	1691
358	944	1686
359	945	1680
360	961	1702
361	964	1699
362	965	1694
363	966	1689
364	969	1686
365	970	1681
366	972	1677
367	974	1673
368	975	1668
369	986	1679
370	987	1675
371	988	1669
372	990	1664
373	991	1659
374	996	1661
375	997	1655
376	998	1650
377	1000	1645
378	1001	1640
379	1002	1635
380	1003	1630
381	1004	1624
382	1005	1620
383	1009	1619
384	1012	1617
385	1022	1625
386	1026	1626
387	1027	1621
388	1029	1616
389	1030	1611
390	1032	1608
391	1033	1603
392	1034	1598
393	1035	1593
394	1037	1589
395	1038	1584
396	1055	1602
397	1057	1598
398	1058	1593
399	1059	1589
400	1062	1586
401	1063	1581
402	1064	1576
403	1069	1577
404	1083	1592
405	1098	1607
406	1100	1603
